num=1; x=869; y=3048; width=8; height=30;
num=2; x=929; y=3047; width=45; height=23;
num=3; x=831; y=3046; width=14; height=15;
num=4; x=819; y=3040; width=30; height=43;
num=5; x=1004; y=3038; width=15; height=17;
num=6; x=884; y=3038; width=28; height=36;
num=7; x=1074; y=3037; width=9; height=38;
num=8; x=1038; y=3037; width=22; height=32;
num=9; x=997; y=3035; width=25; height=45;
num=10; x=1304; y=3009; width=3; height=5;
num=11; x=1027; y=2983; width=19; height=13;
num=12; x=916; y=2971; width=42; height=19;
num=13; x=836; y=2963; width=14; height=18;
num=14; x=831; y=2959; width=22; height=47;
num=15; x=997; y=2957; width=16; height=20;
num=16; x=747; y=2957; width=42; height=101;
num=17; x=867; y=2956; width=20; height=40;
num=18; x=993; y=2954; width=23; height=44;
num=19; x=1025; y=2943; width=23; height=56;
num=20; x=988; y=2914; width=7; height=4;
num=21; x=702; y=2908; width=405; height=9;
num=22; x=1246; y=2876; width=7; height=5;
num=23; x=1192; y=2870; width=8; height=8;
num=24; x=1758; y=2865; width=6; height=9;
num=25; x=1587; y=2863; width=16; height=15;
num=26; x=1315; y=2863; width=47; height=18;
num=27; x=975; y=2862; width=9; height=11;
num=28; x=997; y=2861; width=11; height=16;
num=29; x=988; y=2860; width=8; height=7;
num=30; x=1316; y=2858; width=8; height=12;
num=31; x=851; y=2856; width=22; height=23;
num=32; x=1512; y=2854; width=9; height=18;
num=33; x=972; y=2855; width=15; height=25;
num=34; x=1581; y=2854; width=25; height=26;
num=35; x=842; y=2854; width=8; height=10;
num=36; x=1406; y=2850; width=30; height=23;
num=37; x=1207; y=2850; width=13; height=5;
num=38; x=1070; y=2849; width=5; height=6;
num=39; x=1116; y=2849; width=7; height=24;
num=40; x=1702; y=2848; width=6; height=6;
num=41; x=1131; y=2848; width=19; height=29;
num=42; x=1368; y=2846; width=31; height=33;
num=43; x=1318; y=2845; width=12; height=10;
num=44; x=1573; y=2844; width=28; height=10;
num=45; x=1052; y=2843; width=38; height=40;
num=46; x=902; y=2843; width=28; height=40;
num=47; x=795; y=2842; width=29; height=33;
num=48; x=1509; y=2841; width=30; height=41;
num=49; x=1237; y=2839; width=28; height=46;
num=50; x=1414; y=2838; width=17; height=7;
num=51; x=733; y=2838; width=37; height=33;
num=52; x=1612; y=2837; width=34; height=35;
