num=1; x=1; y=5957; width=19; height=12;
num=2; x=3809; y=5888; width=6; height=8;
num=3; x=775; y=5783; width=14; height=13;
num=4; x=3744; y=5781; width=8; height=8;
num=5; x=3416; y=5781; width=7; height=7;
num=6; x=3085; y=5781; width=7; height=7;
num=7; x=2094; y=5781; width=14; height=14;
num=8; x=2757; y=5779; width=6; height=7;
num=9; x=2427; y=5778; width=7; height=7;
num=10; x=1768; y=5778; width=7; height=7;
num=11; x=1437; y=5778; width=6; height=8;
num=12; x=1108; y=5778; width=7; height=8;
num=13; x=449; y=5778; width=7; height=7;
num=14; x=76; y=5765; width=4015; height=28;
num=15; x=1083; y=5292; width=35; height=19;
num=16; x=1757; y=5113; width=4; height=4;
num=17; x=1212; y=4906; width=3; height=4;
num=18; x=1208; y=4892; width=3; height=8;
num=19; x=1202; y=4887; width=5; height=5;
num=20; x=2308; y=4509; width=8; height=7;
num=21; x=1969; y=4500; width=49; height=12;
num=22; x=1611; y=4497; width=37; height=30;
num=23; x=1525; y=4494; width=11; height=15;
num=24; x=1826; y=4492; width=25; height=24;
num=25; x=2265; y=4484; width=12; height=26;
num=26; x=1777; y=4484; width=11; height=55;
num=27; x=1603; y=4479; width=75; height=53;
num=28; x=2233; y=4478; width=18; height=19;
num=29; x=1349; y=4478; width=63; height=9;
num=30; x=1970; y=4474; width=32; height=15;
num=31; x=1829; y=4473; width=23; height=16;
num=32; x=1494; y=4470; width=9; height=46;
num=33; x=2166; y=4468; width=47; height=53;
num=34; x=1516; y=4467; width=45; height=48;
num=35; x=1941; y=4466; width=20; height=54;
num=36; x=1313; y=4465; width=98; height=58;
num=37; x=1823; y=4462; width=20; height=11;
num=38; x=1696; y=4459; width=54; height=64;
num=39; x=2078; y=4457; width=11; height=3;
num=40; x=1867; y=4457; width=55; height=82;
num=41; x=1813; y=4457; width=51; height=62;
num=42; x=2040; y=4453; width=90; height=78;
num=43; x=1753; y=4446; width=53; height=66;
num=44; x=1703; y=4444; width=40; height=10;
num=45; x=1582; y=4440; width=67; height=85;
num=46; x=3363; y=4355; width=4; height=6;
num=47; x=1122; y=4293; width=32; height=10;
num=48; x=1453; y=4289; width=10; height=36;
num=49; x=1468; y=4286; width=24; height=40;
num=50; x=1122; y=4279; width=21; height=10;
num=51; x=2105; y=4270; width=51; height=8;
num=52; x=1257; y=4269; width=39; height=38;
num=53; x=1783; y=4266; width=15; height=27;
num=54; x=1859; y=4264; width=22; height=31;
num=55; x=1008; y=4261; width=18; height=30;
num=56; x=1198; y=4258; width=104; height=71;
num=57; x=1311; y=4253; width=53; height=64;
num=58; x=2097; y=4250; width=38; height=11;
num=59; x=1601; y=4250; width=93; height=14;
num=60; x=1904; y=4247; width=39; height=59;
num=61; x=1471; y=4242; width=19; height=35;
num=62; x=1455; y=4242; width=11; height=42;
num=63; x=2207; y=4236; width=40; height=47;
num=64; x=990; y=4234; width=27; height=53;
num=65; x=1994; y=4232; width=23; height=36;
num=66; x=2200; y=4230; width=55; height=61;
num=67; x=997; y=4230; width=4; height=3;
num=68; x=1863; y=4229; width=13; height=28;
num=69; x=1578; y=4229; width=144; height=77;
num=70; x=979; y=4224; width=62; height=108;
num=71; x=1441; y=4221; width=59; height=118;
num=72; x=1974; y=4220; width=74; height=92;
num=73; x=1383; y=4218; width=47; height=54;
num=74; x=1778; y=4215; width=53; height=84;
num=75; x=1230; y=4079; width=22; height=39;
num=76; x=1143; y=4046; width=36; height=10;
num=77; x=1346; y=4043; width=23; height=22;
num=78; x=1885; y=4037; width=17; height=22;
num=79; x=2152; y=4037; width=53; height=9;
num=80; x=2002; y=4035; width=14; height=31;
num=81; x=1291; y=4030; width=90; height=48;
num=82; x=2241; y=4028; width=11; height=27;
num=83; x=1146; y=4029; width=32; height=12;
num=84; x=1642; y=4026; width=121; height=31;
num=85; x=2256; y=4020; width=24; height=42;
num=86; x=1216; y=4019; width=67; height=106;
num=87; x=2154; y=4018; width=33; height=10;
num=88; x=1040; y=4016; width=26; height=40;
num=89; x=1818; y=4016; width=91; height=55;
num=90; x=2233; y=4015; width=54; height=59;
num=91; x=1918; y=4010; width=58; height=58;
num=92; x=1635; y=4008; width=142; height=71;
num=93; x=2030; y=4004; width=25; height=33;
num=94; x=996; y=4002; width=2; height=5;
num=95; x=2012; y=3987; width=28; height=43;
num=96; x=1395; y=3987; width=59; height=93;
num=97; x=1001; y=3987; width=78; height=109;
num=98; x=1475; y=3979; width=27; height=9;
num=99; x=1994; y=3975; width=72; height=109;
num=100; x=1473; y=3961; width=41; height=40;
num=101; x=1495; y=3957; width=79; height=135;
num=102; x=835; y=3894; width=1587; height=510;
num=103; x=1453; y=3800; width=8; height=6;
num=104; x=1259; y=3787; width=23; height=35;
num=105; x=1763; y=3785; width=20; height=20;
num=106; x=1600; y=3785; width=42; height=27;
num=107; x=1871; y=3772; width=14; height=32;
num=108; x=1662; y=3770; width=34; height=46;
num=109; x=2434; y=3769; width=5; height=4;
num=110; x=1444; y=3769; width=45; height=43;
num=111; x=1349; y=3766; width=47; height=51;
num=112; x=1826; y=3761; width=18; height=31;
num=113; x=1429; y=3761; width=11; height=48;
num=114; x=1757; y=3759; width=43; height=50;
num=115; x=1729; y=3757; width=34; height=45;
num=116; x=1269; y=3754; width=19; height=27;
num=117; x=1588; y=3750; width=27; height=21;
num=118; x=1186; y=3747; width=59; height=86;
num=119; x=1524; y=3744; width=38; height=83;
num=120; x=1134; y=3743; width=40; height=35;
num=121; x=1063; y=3743; width=58; height=86;
num=122; x=1683; y=3740; width=13; height=23;
num=123; x=1249; y=3735; width=68; height=94;
num=124; x=1579; y=3731; width=45; height=81;
num=125; x=1431; y=3667; width=9; height=19;
num=126; x=1854; y=3659; width=9; height=8;
num=127; x=773; y=3659; width=37; height=14;
num=128; x=1827; y=3657; width=9; height=9;
num=129; x=1280; y=3655; width=6; height=17;
num=130; x=1228; y=3648; width=6; height=20;
num=131; x=993; y=3645; width=43; height=13;
num=132; x=1655; y=3641; width=16; height=16;
num=133; x=1379; y=3639; width=34; height=37;
num=134; x=1546; y=3636; width=34; height=43;
num=135; x=1501; y=3629; width=28; height=29;
num=136; x=1997; y=3628; width=33; height=28;
num=137; x=1174; y=3626; width=28; height=21;
num=138; x=1185; y=3624; width=11; height=8;
num=139; x=1338; y=3623; width=30; height=33;
num=140; x=1056; y=3622; width=23; height=30;
num=141; x=775; y=3623; width=19; height=33;
num=142; x=993; y=3616; width=26; height=14;
num=143; x=1053; y=3613; width=58; height=46;
num=144; x=1615; y=3612; width=11; height=46;
num=145; x=2138; y=3611; width=13; height=17;
num=146; x=1645; y=3607; width=47; height=55;
num=147; x=2127; y=3605; width=9; height=17;
num=148; x=788; y=3601; width=22; height=23;
num=149; x=1722; y=3596; width=46; height=75;
num=150; x=1178; y=3591; width=24; height=25;
num=151; x=1968; y=3591; width=48; height=69;
num=152; x=2077; y=3588; width=42; height=75;
num=153; x=1818; y=3587; width=47; height=93;
num=154; x=2046; y=3585; width=11; height=20;
num=155; x=1341; y=3583; width=29; height=36;
num=156; x=1879; y=3580; width=47; height=95;
num=157; x=1493; y=3579; width=43; height=96;
num=158; x=1157; y=3579; width=57; height=80;
num=159; x=813; y=3579; width=67; height=96;
num=160; x=1789; y=3578; width=9; height=26;
num=161; x=1331; y=3577; width=43; height=96;
num=162; x=2065; y=3575; width=9; height=17;
num=163; x=734; y=3566; width=159; height=128;
num=164; x=2133; y=3561; width=98; height=278;
num=165; x=725; y=3557; width=179; height=149;
num=166; x=684; y=3551; width=94; height=307;
num=167; x=1104; y=3480; width=9; height=8;
num=168; x=975; y=3465; width=19; height=20;
num=169; x=893; y=3465; width=15; height=23;
num=170; x=1072; y=3438; width=12; height=42;
num=171; x=1033; y=3437; width=20; height=41;
num=172; x=871; y=3433; width=11; height=58;
num=173; x=883; y=3430; width=50; height=67;
num=174; x=967; y=3428; width=60; height=66;
num=175; x=715; y=3428; width=53; height=58;
num=176; x=3146; y=3424; width=59; height=62;
num=177; x=567; y=3421; width=50; height=68;
num=178; x=784; y=3419; width=61; height=78;
num=179; x=3117; y=3417; width=100; height=79;
num=180; x=930; y=3416; width=16; height=21;
num=181; x=954; y=3412; width=10; height=22;
num=182; x=1124; y=3227; width=15; height=28;
num=183; x=1350; y=3225; width=52; height=13;
num=184; x=967; y=3223; width=17; height=27;
num=185; x=915; y=3210; width=7; height=27;
num=186; x=1344; y=3207; width=38; height=11;
num=187; x=737; y=3205; width=27; height=52;
num=188; x=1079; y=3202; width=30; height=32;
num=189; x=1494; y=3200; width=36; height=36;
num=190; x=1219; y=3199; width=28; height=49;
num=191; x=1483; y=3191; width=57; height=53;
num=192; x=1157; y=3188; width=54; height=48;
num=193; x=849; y=3178; width=46; height=56;
num=194; x=1029; y=3176; width=47; height=57;
num=195; x=682; y=3171; width=37; height=72;
num=196; x=1261; y=3171; width=27; height=81;
num=197; x=843; y=3170; width=8; height=6;
num=198; x=806; y=3170; width=30; height=65;
num=199; x=675; y=3164; width=51; height=84;
num=200; x=1402; y=3152; width=6; height=9;
num=201; x=2489; y=3043; width=11; height=31;
num=202; x=2443; y=3011; width=33; height=57;
num=203; x=1537; y=3009; width=28; height=39;
num=204; x=1495; y=3002; width=40; height=44;
num=205; x=2943; y=2977; width=23; height=28;
num=206; x=1996; y=2965; width=16; height=31;
num=207; x=1843; y=2962; width=13; height=20;
num=208; x=1152; y=2960; width=13; height=27;
num=209; x=2899; y=2953; width=25; height=37;
num=210; x=2795; y=2952; width=24; height=35;
num=211; x=1698; y=2952; width=14; height=32;
num=212; x=2643; y=2951; width=26; height=38;
