num=1; x=2798; y=5918; width=6; height=6;
num=2; x=329; y=5916; width=4; height=5;
num=3; x=2401; y=5911; width=7; height=6;
num=4; x=639; y=5901; width=5; height=5;
num=5; x=3950; y=5882; width=133; height=59;
num=6; x=3843; y=5856; width=7; height=10;
num=7; x=657; y=5750; width=15; height=13;
num=8; x=1976; y=5747; width=14; height=13;
num=9; x=3627; y=5745; width=8; height=7;
num=10; x=990; y=5745; width=7; height=6;
num=11; x=332; y=5745; width=7; height=7;
num=12; x=3298; y=5744; width=8; height=8;
num=13; x=2969; y=5744; width=7; height=8;
num=14; x=2639; y=5744; width=6; height=8;
num=15; x=2309; y=5744; width=7; height=7;
num=16; x=1650; y=5743; width=7; height=7;
num=17; x=1321; y=5743; width=7; height=8;
num=18; x=1; y=5731; width=4008; height=25;
num=19; x=3203; y=5669; width=5; height=5;
num=20; x=3156; y=5541; width=5; height=8;
num=21; x=2937; y=5350; width=26; height=18;
num=22; x=2669; y=5349; width=22; height=14;
num=23; x=2555; y=5339; width=9; height=30;
num=24; x=3048; y=5336; width=30; height=50;
num=25; x=1938; y=5333; width=17; height=18;
num=26; x=2778; y=5333; width=32; height=30;
num=27; x=2174; y=5329; width=16; height=16;
num=28; x=2994; y=5319; width=53; height=52;
num=29; x=2929; y=5318; width=47; height=56;
num=30; x=2661; y=5317; width=45; height=51;
num=31; x=2590; y=5317; width=35; height=8;
num=32; x=2725; y=5313; width=59; height=57;
num=33; x=1845; y=5310; width=10; height=23;
num=34; x=2356; y=5305; width=27; height=33;
num=35; x=2096; y=5303; width=48; height=53;
num=36; x=2593; y=5298; width=32; height=9;
num=37; x=2179; y=5296; width=10; height=16;
num=38; x=2909; y=5294; width=158; height=11;
num=39; x=2027; y=5294; width=58; height=56;
num=40; x=2553; y=5292; width=9; height=8;
num=41; x=2457; y=5287; width=25; height=51;
num=42; x=2660; y=5287; width=156; height=13;
num=43; x=2483; y=5284; width=21; height=33;
num=44; x=2841; y=5283; width=54; height=16;
num=45; x=2393; y=5283; width=48; height=58;
num=46; x=2303; y=5283; width=86; height=61;
num=47; x=1932; y=5279; width=51; height=79;
num=48; x=2045; y=5274; width=16; height=19;
num=49; x=1822; y=5274; width=68; height=69;
num=50; x=2002; y=5270; width=11; height=25;
num=51; x=2114; y=5267; width=23; height=35;
num=52; x=1909; y=5267; width=20; height=79;
num=53; x=1434; y=5263; width=6; height=6;
num=54; x=2024; y=5263; width=10; height=21;
num=55; x=2257; y=5262; width=46; height=93;
num=56; x=1448; y=5260; width=10; height=9;
num=57; x=801; y=5259; width=28; height=38;
num=58; x=2448; y=5259; width=101; height=112;
num=59; x=1363; y=5258; width=5; height=4;
num=60; x=1041; y=5251; width=18; height=37;
num=61; x=1349; y=5248; width=29; height=22;
num=62; x=2674; y=5246; width=30; height=22;
num=63; x=1434; y=5246; width=6; height=10;
num=64; x=3038; y=5246; width=24; height=32;
num=65; x=1085; y=5245; width=20; height=34;
num=66; x=796; y=5246; width=37; height=58;
num=67; x=1446; y=5244; width=16; height=11;
num=68; x=909; y=5242; width=42; height=49;
num=69; x=1132; y=5240; width=45; height=46;
num=70; x=1482; y=5239; width=45; height=57;
num=71; x=1079; y=5237; width=30; height=51;
num=72; x=2942; y=5234; width=17; height=18;
num=73; x=850; y=5234; width=32; height=67;
num=74; x=905; y=5233; width=57; height=65;
num=75; x=1329; y=5231; width=19; height=80;
num=76; x=746; y=5228; width=51; height=62;
num=77; x=3000; y=5224; width=16; height=27;
num=78; x=1346; y=5225; width=51; height=72;
num=79; x=1042; y=5224; width=8; height=24;
num=80; x=973; y=5223; width=44; height=73;
num=81; x=1484; y=5220; width=29; height=13;
num=82; x=1272; y=5215; width=41; height=86;
num=83; x=2772; y=5214; width=34; height=55;
num=84; x=2742; y=5213; width=14; height=22;
num=85; x=1548; y=5213; width=22; height=90;
num=86; x=1420; y=5211; width=57; height=89;
num=87; x=2668; y=5198; width=46; height=75;
num=88; x=2980; y=5197; width=50; height=78;
num=89; x=2918; y=5196; width=59; height=80;
num=90; x=2721; y=5188; width=47; height=74;
num=91; x=1807; y=5097; width=13; height=7;
num=92; x=2069; y=5092; width=19; height=26;
num=93; x=2938; y=5091; width=22; height=10;
num=94; x=2714; y=5091; width=19; height=7;
num=95; x=2346; y=5088; width=15; height=10;
num=96; x=2444; y=5087; width=12; height=33;
num=97; x=1410; y=5082; width=22; height=17;
num=98; x=2929; y=5081; width=41; height=29;
num=99; x=2189; y=5076; width=22; height=43;
num=100; x=1507; y=5070; width=29; height=34;
num=101; x=2137; y=5065; width=40; height=52;
num=102; x=1401; y=5059; width=42; height=47;
num=103; x=2388; y=5055; width=40; height=54;
num=104; x=1457; y=5055; width=48; height=50;
num=105; x=2941; y=5052; width=27; height=28;
num=106; x=2337; y=5052; width=40; height=52;
num=107; x=1658; y=5052; width=50; height=46;
num=108; x=2986; y=5050; width=54; height=60;
num=109; x=2703; y=5049; width=45; height=58;
num=110; x=2754; y=5048; width=73; height=71;
num=111; x=2567; y=5043; width=41; height=40;
num=112; x=3135; y=5038; width=7; height=8;
num=113; x=3187; y=5038; width=37; height=47;
num=114; x=1909; y=5038; width=13; height=39;
num=115; x=2516; y=5035; width=15; height=21;
num=116; x=2858; y=5035; width=49; height=10;
num=117; x=1562; y=5035; width=57; height=12;
num=118; x=2245; y=5033; width=44; height=9;
num=119; x=2695; y=5032; width=93; height=13;
num=120; x=2320; y=5032; width=117; height=14;
num=121; x=1854; y=5028; width=15; height=27;
num=122; x=2051; y=5028; width=143; height=16;
num=123; x=1390; y=5027; width=152; height=18;
num=124; x=2523; y=5022; width=12; height=9;
num=125; x=2764; y=5022; width=69; height=10;
num=126; x=2542; y=5018; width=12; height=11;
num=127; x=1665; y=5018; width=5; height=4;
num=128; x=1079; y=5018; width=20; height=34;
num=129; x=3157; y=5017; width=9; height=12;
num=130; x=1302; y=5018; width=23; height=8;
num=131; x=3132; y=5014; width=15; height=20;
num=132; x=2506; y=5013; width=63; height=64;
num=133; x=3119; y=5008; width=63; height=62;
num=134; x=1071; y=5008; width=35; height=50;
num=135; x=2936; y=5004; width=20; height=15;
num=136; x=1859; y=5004; width=42; height=20;
num=137; x=2618; y=5001; width=39; height=57;
num=138; x=1954; y=5001; width=50; height=51;
num=139; x=1016; y=5001; width=52; height=58;
num=140; x=2697; y=4999; width=22; height=16;
num=141; x=1843; y=4999; width=68; height=67;
num=142; x=1310; y=4999; width=23; height=9;
num=143; x=1125; y=4995; width=48; height=57;
num=144; x=2342; y=4993; width=16; height=23;
num=145; x=2101; y=4993; width=18; height=18;
num=146; x=1421; y=4993; width=28; height=24;
num=147; x=2809; y=4990; width=5; height=6;
num=148; x=1233; y=4986; width=29; height=34;
num=149; x=2206; y=4984; width=10; height=34;
num=150; x=2813; y=4981; width=9; height=10;
num=151; x=1758; y=4982; width=24; height=40;
num=152; x=1191; y=4978; width=41; height=82;
num=153; x=3011; y=4973; width=14; height=25;
num=154; x=1716; y=4971; width=12; height=24;
num=155; x=1492; y=4968; width=6; height=9;
num=156; x=1206; y=4967; width=79; height=103;
num=157; x=2690; y=4966; width=47; height=55;
num=158; x=1648; y=4963; width=37; height=70;
num=159; x=2777; y=4961; width=9; height=19;
num=160; x=2163; y=4956; width=15; height=29;
num=161; x=2379; y=4955; width=82; height=76;
num=162; x=1652; y=4952; width=125; height=95;
num=163; x=2333; y=4951; width=43; height=70;
num=164; x=2092; y=4949; width=40; height=69;
num=165; x=2922; y=4948; width=146; height=92;
num=166; x=2455; y=4948; width=48; height=185;
num=167; x=1711; y=4948; width=122; height=176;
num=168; x=1412; y=4948; width=47; height=76;
num=169; x=3029; y=4947; width=76; height=179;
num=170; x=2664; y=4945; width=48; height=168;
num=171; x=1359; y=4943; width=40; height=158;
num=172; x=2138; y=4942; width=56; height=87;
num=173; x=1465; y=4939; width=89; height=85;
num=174; x=2033; y=4937; width=72; height=184;
num=175; x=2753; y=4917; width=85; height=106;
num=176; x=405; y=4905; width=142; height=10;
num=177; x=1004; y=4880; width=18; height=6;
num=178; x=613; y=4871; width=15; height=16;
num=179; x=459; y=4838; width=22; height=33;
num=180; x=604; y=4824; width=13; height=28;
num=181; x=1975; y=4817; width=12; height=23;
num=182; x=1136; y=4816; width=26; height=35;
num=183; x=496; y=4817; width=58; height=61;
num=184; x=388; y=4817; width=166; height=78;
num=185; x=1005; y=4814; width=33; height=44;
num=186; x=2110; y=4812; width=15; height=18;
num=187; x=907; y=4811; width=44; height=63;
num=188; x=1901; y=4804; width=96; height=44;
num=189; x=726; y=4802; width=56; height=53;
num=190; x=1784; y=4801; width=28; height=50;
num=191; x=970; y=4800; width=13; height=73;
num=192; x=829; y=4799; width=41; height=85;
num=193; x=1267; y=4796; width=7; height=6;
num=194; x=2003; y=4794; width=50; height=55;
num=195; x=795; y=4794; width=20; height=30;
num=196; x=2094; y=4792; width=13; height=33;
num=197; x=1093; y=4792; width=38; height=77;
num=198; x=1756; y=4789; width=18; height=64;
num=199; x=979; y=4788; width=2299; height=374;
num=200; x=1686; y=4786; width=61; height=72;
num=201; x=1602; y=4784; width=10; height=21;
num=202; x=1512; y=4783; width=62; height=53;
num=203; x=1245; y=4783; width=246; height=67;
num=204; x=1618; y=4780; width=55; height=75;
num=205; x=1586; y=4780; width=13; height=20;
num=206; x=2078; y=4778; width=69; height=91;
num=207; x=763; y=4719; width=4; height=6;
num=208; x=722; y=4710; width=8; height=16;
num=209; x=744; y=4672; width=7; height=15;
num=210; x=3042; y=4657; width=6; height=5;
num=211; x=1886; y=4599; width=7; height=5;
num=212; x=1067; y=4583; width=20; height=28;
num=213; x=845; y=4565; width=18; height=29;
num=214; x=1593; y=4557; width=13; height=17;
num=215; x=783; y=4551; width=26; height=38;
num=216; x=1517; y=4546; width=9; height=7;
num=217; x=1141; y=4544; width=28; height=20;
num=218; x=1327; y=4540; width=17; height=17;
num=219; x=935; y=4536; width=41; height=29;
num=220; x=1121; y=4536; width=54; height=58;
num=221; x=1253; y=4534; width=53; height=53;
num=222; x=993; y=4534; width=52; height=55;
num=223; x=881; y=4534; width=47; height=66;
num=224; x=1315; y=4532; width=41; height=51;
num=225; x=1192; y=4532; width=44; height=50;
num=226; x=1064; y=4531; width=31; height=30;
num=227; x=922; y=4532; width=59; height=56;
num=228; x=845; y=4527; width=10; height=26;
num=229; x=3540; y=4524; width=11; height=5;
num=230; x=1054; y=4520; width=65; height=102;
num=231; x=776; y=4517; width=47; height=86;
num=232; x=1562; y=4510; width=45; height=24;
num=233; x=1664; y=4509; width=48; height=90;
num=234; x=1610; y=4506; width=31; height=29;
num=235; x=1409; y=4493; width=50; height=91;
num=236; x=1603; y=4491; width=11; height=11;
num=237; x=1475; y=4483; width=191; height=117;
num=238; x=1718; y=4477; width=7; height=5;
num=239; x=1043; y=4436; width=1154; height=49;
num=240; x=2014; y=4409; width=18; height=15;
num=241; x=1725; y=4402; width=17; height=8;
num=242; x=2098; y=4400; width=47; height=53;
num=243; x=3169; y=4395; width=3; height=5;
num=244; x=1549; y=4393; width=10; height=25;
num=245; x=1845; y=4389; width=32; height=36;
num=246; x=1423; y=4385; width=20; height=17;
num=247; x=2054; y=4379; width=52; height=50;
num=248; x=2005; y=4377; width=43; height=52;
num=249; x=1782; y=4368; width=49; height=50;
num=250; x=1715; y=4364; width=45; height=53;
num=251; x=1478; y=4360; width=58; height=53;
num=252; x=1416; y=4355; width=46; height=52;
num=253; x=1984; y=4349; width=162; height=18;
num=254; x=1689; y=4343; width=179; height=19;
num=255; x=1555; y=4341; width=7; height=6;
num=256; x=1163; y=4335; width=14; height=28;
