num=1; x=329; y=2891; width=4; height=5;
num=2; x=987; y=2888; width=6; height=6;
num=3; x=1813; y=2886; width=3; height=3;
num=4; x=1484; y=2886; width=3; height=3;
num=5; x=1732; y=2885; width=2; height=6;
num=6; x=1; y=2883; width=249; height=10;
num=7; x=577; y=2882; width=3; height=10;
num=8; x=252; y=2882; width=324; height=10;
num=9; x=1189; y=2881; width=548; height=10;
num=10; x=1130; y=2881; width=57; height=2;
num=11; x=992; y=2881; width=133; height=10;
num=12; x=928; y=2881; width=58; height=2;
num=13; x=581; y=2881; width=345; height=10;
num=14; x=1738; y=2880; width=265; height=11;
num=15; x=1352; y=1957; width=8; height=1;
num=16; x=1445; y=1657; width=8; height=1;
num=17; x=1354; y=1652; width=9; height=15;
num=18; x=1417; y=1652; width=10; height=3;
num=19; x=1404; y=1650; width=12; height=3;
num=20; x=1392; y=1648; width=10; height=2;
num=21; x=1555; y=1647; width=5; height=4;
num=22; x=1384; y=1647; width=6; height=1;
num=23; x=1352; y=1646; width=28; height=29;
num=24; x=1356; y=1644; width=6; height=2;
num=25; x=1563; y=1642; width=5; height=4;
num=26; x=1354; y=1620; width=2; height=15;
num=27; x=1355; y=1612; width=1; height=7;
num=28; x=1356; y=1606; width=1; height=5;
num=29; x=1572; y=1598; width=4; height=21;
num=30; x=1356; y=1598; width=2; height=6;
num=31; x=1575; y=1580; width=3; height=16;
num=32; x=1308; y=1578; width=5; height=4;
num=33; x=1357; y=1577; width=2; height=14;
num=34; x=1577; y=1555; width=4; height=23;
num=35; x=536; y=1548; width=5; height=15;
num=36; x=1580; y=1542; width=3; height=10;
num=37; x=527; y=1539; width=28; height=29;
num=38; x=1362; y=1530; width=2; height=15;
num=39; x=1582; y=1526; width=4; height=15;
num=40; x=999; y=1522; width=4; height=4;
num=41; x=737; y=1522; width=19; height=5;
num=42; x=652; y=1517; width=16; height=14;
num=43; x=634; y=1517; width=5; height=8;
num=44; x=1585; y=1514; width=2; height=11;
num=45; x=896; y=1512; width=22; height=5;
num=46; x=738; y=1512; width=9; height=5;
num=47; x=994; y=1510; width=8; height=14;
num=48; x=600; y=1506; width=10; height=16;
num=49; x=989; y=1505; width=29; height=31;
num=50; x=688; y=1503; width=12; height=25;
num=51; x=1023; y=1501; width=17; height=41;
num=52; x=818; y=1501; width=34; height=34;
num=53; x=794; y=1499; width=23; height=43;
num=54; x=853; y=1496; width=16; height=38;
num=55; x=684; y=1495; width=36; height=38;
num=56; x=965; y=1494; width=25; height=44;
num=57; x=1587; y=1493; width=4; height=15;
num=58; x=576; y=1490; width=37; height=50;
num=59; x=648; y=1489; width=33; height=45;
num=60; x=929; y=1485; width=33; height=63;
num=61; x=762; y=1485; width=36; height=78;
num=62; x=1590; y=1472; width=4; height=17;
num=63; x=1372; y=1469; width=1; height=5;
num=64; x=1373; y=1460; width=1; height=6;
num=65; x=554; y=1453; width=10; height=23;
num=66; x=504; y=1454; width=38; height=110;
num=67; x=549; y=1449; width=29; height=34;
num=68; x=1593; y=1445; width=5; height=22;
num=69; x=1375; y=1436; width=2; height=5;
num=70; x=1598; y=1429; width=2; height=10;
num=71; x=1377; y=1419; width=2; height=8;
num=72; x=1379; y=1411; width=1; height=5;
num=73; x=1601; y=1408; width=1; height=5;
num=74; x=1602; y=1394; width=2; height=6;
num=75; x=790; y=1386; width=23; height=11;
num=76; x=716; y=1382; width=5; height=4;
num=77; x=699; y=1380; width=10; height=7;
num=78; x=571; y=1379; width=12; height=9;
num=79; x=1028; y=1379; width=8; height=6;
num=80; x=1016; y=1378; width=4; height=4;
num=81; x=668; y=1377; width=14; height=8;
num=82; x=1426; y=1372; width=4; height=5;
num=83; x=728; y=1373; width=12; height=15;
num=84; x=980; y=1372; width=13; height=14;
num=85; x=827; y=1370; width=24; height=25;
num=86; x=1027; y=1369; width=10; height=4;
num=87; x=611; y=1367; width=16; height=13;
num=88; x=802; y=1365; width=11; height=13;
num=89; x=750; y=1366; width=14; height=11;
num=90; x=867; y=1365; width=15; height=22;
num=91; x=506; y=1365; width=18; height=22;
num=92; x=608; y=1364; width=27; height=20;
num=93; x=738; y=1363; width=10; height=31;
